jurscode,county,muni,premcity,zoneauth,zoning,zoning_name
GARR,Garrett,Accident,ACCIDENT,MUNICIPALITY,SR,Suburban Residential District 
GARR,Garrett,Friendsville,FRIENDSVILLE,MUNICIPALITY,SR,Suburban Residential District 
GARR,Garrett,Grantsville,GRANTSVILLE,MUNICIPALITY,SR,Suburban Residential District 
WORC,Worcester,Worcester,WORCESTER,COUNTY,R-2,Suburban Residential District 
CECI,Cecil,Cecil,CECIL,COUNTY,ST,Suburban Transition Residential
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,TC,Town Center
QUEE,Queen Anne's,Queens Town,QUEENS TOWN,MUNICIPALITY,TC,Town center
QUEE,Queen Anne's,Barclay,BARCLAY,MUNICIPALITY,TC,Town Center 
QUEE,Queen Anne's,Sudlersville,SUDLERSVILLE,MUNICIPALITY,TCC,Town Center Commercial 
KENT,Kent,Rock Hall,ROCK HALL,MUNICIPALITY,C-3,Town Center Commercial District
CECI,Cecil,Elkton,ELKTON,MUNICIPALITY,TC,Town Center District
KENT,Kent,Millington,MILLINGTON,MUNICIPALITY,TC,Town Center District
WORC,Worcester,Berlin,BERLIN,MUNICIPALITY,B-1,Town Center District
GARR,Garrett,Accident,ACCIDENT,MUNICIPALITY,TC,Town Center District 
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,TC,Town Center District 
GARR,Garrett,Friendsville,FRIENDSVILLE,MUNICIPALITY,TC,Town Center District 
GARR,Garrett,Grantsville,GRANTSVILLE,MUNICIPALITY,TC,Town Center District 
GARR,Garrett,Loch Lynn Heights,LOCH LYNN HEIGHTS,MUNICIPALITY,TC,Town Center District 
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,TC,Town Center District 
WASH,Washington,Boonsboro,BOONSBORO,MUNICIPALITY,TC,Town Center District 
CALV,Calvert,Calvert,CALVERT,COUNTY,TC-D,Town Center District - Dunkirk
CALV,Calvert,Calvert,CALVERT,COUNTY,TC-H,Town Center District - Huntingtown
CALV,Calvert,Calvert,CALVERT,COUNTY,TC- L,Town Center District - Lusby
CALV,Calvert,Calvert,CALVERT,COUNTY,TC-O,Town Center District - Owings
CALV,Calvert,Calvert,CALVERT,COUNTY,TC-PF,Town Center District - Prince Fredrick
CALV,Calvert,Calvert,CALVERT,COUNTY,TC- S,Town Center District - Solomons
CALV,Calvert,Calvert,CALVERT,COUNTY,TC- SL,Town Center District - St Leonard
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,TMX,town center mixed use
TALB,Talbot,Talbot,TALBOT,COUNTY,TC,Town Conservation
CECI,Cecil,Elkton,ELKTON,MUNICIPALITY,R-1,Town Estate District
GARR,Garrett,Mountain Lake Park,MOUNTAIN LAKE PARK,MUNICIPALITY,TR,Town Residential
GARR,Garrett,Oakland County seat,OAKLAND COUNTY SEAT,MUNICIPALITY,TR,Town Residential
TALB,Talbot,Talbot,TALBOT,COUNTY,TR,Town Residential
QUEE,Queen Anne's,Sudlersville,SUDLERSVILLE,MUNICIPALITY,TR,Town Residential 
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,TR,Town Residential District
WASH,Washington,Boonsboro,BOONSBORO,MUNICIPALITY,TR,Town Residential District
GARR,Garrett,Accident,ACCIDENT,MUNICIPALITY,TR,Town Residential District 
GARR,Garrett,Deep Creek Lake,DEEP CREEK LAKE,MUNICIPALITY,TR,Town Residential District 
GARR,Garrett,Friendsville,FRIENDSVILLE,MUNICIPALITY,TR,Town Residential District 
GARR,Garrett,Grantsville,GRANTSVILLE,MUNICIPALITY,TR,Town Residential District 
GARR,Garrett,Loch Lynn Heights,LOCH LYNN HEIGHTS,MUNICIPALITY,TR,Town Residential District 
CARO,Caroline,Denton ,DENTON ,MUNICIPALITY,TR,Town Scale Residential
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,TT,Town Transition
PRIN,Prince George's,Prince George's,PRINCE GEORGE'S,COUNTY,R-T,Townhouse
PRIN,Prince George's,Laurel,LAUREL,MUNICIPALITY,R-T,townhouse
CHAR,Charles,La Plata,LA PLATA,MUNICIPALITY,TDX,Traditional Development Mixed Use Zone
CECI,Cecil,Chesapeake City,CHESAPEAKE CITY,MUNICIPALITY,TND,Traditional Neighborhood Development
KENT,Kent,Chestertown,CHESTERTOWN,MUNICIPALITY,R-6,traditional neighborhood development
QUEE,Queen Anne's,Centreville,CENTREVILLE,MUNICIPALITY,TND,Traditional Neighborhood Development
HOWA,Howard,Howard,HOWARD,COUNTY,TOD,Transit Oriented Development
MONT,Montgomery,Poolesville,POOLESVILLE,MUNICIPALITY,PTR- 2+,Transition two plus (2+) acres PTR- 2+
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,TOD-2,Transit-Oriented Development District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,TOD-3,Transit-Oriented Development District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,TOD-4,Transit-Oriented Development District
BACI,Baltimore,Baltimore City,BALTIMORE CITY,MUNICIPALITY,TOD-1,Transit-Oriented Development District
QUEE,Queen Anne's,Church Hill,CHURCH HILL,MUNICIPALITY,EC,UNKNOWN
CECI,Cecil,Elkton,ELKTON,MUNICIPALITY,R-3,Urban Residential District
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,UR,Urban Residential District
HARF,Harford,Harford,HARFORD,COUNTY,R1CCRC,Urban Residential District Continuing Care Retirement Community
HARF,Harford,Harford,HARFORD,COUNTY,R2CCRC,Urban Residential District Continuing Care Retirement Community
HARF,Harford,Harford,HARFORD,COUNTY,R3CCRC,Urban Residential District Continuing Care Retirement Community
HARF,Harford,Harford,HARFORD,COUNTY,R4CCRC,Urban Residential District Continuing Care Retirement Community
HARF,Harford,Harford,HARFORD,COUNTY,R1,Urban Residential District Conventional
HARF,Harford,Harford,HARFORD,COUNTY,R2,Urban Residential District Conventional
HARF,Harford,Harford,HARFORD,COUNTY,R3,Urban Residential District Conventional
HARF,Harford,Harford,HARFORD,COUNTY,R4,Urban Residential District Conventional
HARF,Harford,Harford,HARFORD,COUNTY,R1HFE,Urban Residential District Housing for the Elderly
HARF,Harford,Harford,HARFORD,COUNTY,R2HFE,Urban Residential District Housing for the Elderly
HARF,Harford,Harford,HARFORD,COUNTY,R3HFE,Urban Residential District Housing for the Elderly
HARF,Harford,Harford,HARFORD,COUNTY,R4HFE,Urban Residential District Housing for the Elderly
HARF,Harford,Harford,HARFORD,COUNTY,R1PRD,Urban Residential District Planned Residential Development 
HARF,Harford,Harford,HARFORD,COUNTY,R2PRD,Urban Residential District Planned Residential Development 
HARF,Harford,Harford,HARFORD,COUNTY,R3PRD,Urban Residential District Planned Residential Development 
HARF,Harford,Harford,HARFORD,COUNTY,R4PRD,Urban Residential District Planned Residential Development 
HARF,Harford,Harford,HARFORD,COUNTY,R1COS,Urban Residential District with Conventional with Open Space (COS)
HARF,Harford,Harford,HARFORD,COUNTY,R2COS,Urban Residential District with Conventional with Open Space (COS)
HARF,Harford,Harford,HARFORD,COUNTY,R3COS,Urban Residential District with Conventional with Open Space (COS)
HARF,Harford,Harford,HARFORD,COUNTY,R4COS,Urban Residential District with Conventional with Open Space (COS)
CECI,Cecil,Cecil,CECIL,COUNTY,UR,Urbanized Residential
KENT,Kent,Kent,KENT,COUNTY,V,Village
HARF,Harford,Harford,HARFORD,COUNTY,VB,Village Business District (Conventional)
CECI,Cecil,Chesapeake City,CHESAPEAKE CITY,MUNICIPALITY,V-1,Village Center
CARO,Caroline,Caroline,CAROLINE,COUNTY,VC,Village Center District
FRED,Frederick,Frederick,FREDERICK,COUNTY,VC,Village Center District
QUEE,Queen Anne's,Queen Anne's,QUEEN ANNE'S,COUNTY,VC,Village Center District 
STMA,St. Mary's,St. Mary's,ST. MARY'S,COUNTY,VMX,village center mixed use
CECI,Cecil,Chesapeake City,CHESAPEAKE CITY,MUNICIPALITY,V-2,Village Commercial
WICO,Wicomico,Wicomico,WICOMICO,COUNTY,VC,Village Conservation
DORC,Dorchester,Dorchester,DORCHESTER,COUNTY,V,Village District
WORC,Worcester,Worcester,WORCESTER,COUNTY,V-1,Village District 
TALB,Talbot,Talbot,TALBOT,COUNTY,VH,Village Hamlet
TALB,Talbot,Talbot,TALBOT,COUNTY,VM,Village Mixed
CARO,Caroline,Caroline,CAROLINE,COUNTY,VN,Village Neighborhood District
CECI,Cecil,Cecil,CECIL,COUNTY,VR,Village Residential
CHAR,Charles,Charles,CHARLES,COUNTY,RV,Village Residential
TALB,Talbot,Talbot,TALBOT,COUNTY,VR,Village Residential
HARF,Harford,Harford,HARFORD,COUNTY,VR,Village Residential District (Conventional Residential)
TALB,Talbot,St. Michaels,ST. MICHAELS,MUNICIPALITY,WD,Waterfront Development District
CALV,Calvert,North Beach,NORTH BEACH,MUNICIPALITY,W-1 ,Waterfront Limited
CHAR,Charles,Charles,CHARLES,COUNTY,WCD,Watershed Conservation District
TALB,Talbot,Talbot,TALBOT,COUNTY,WRC,Western Rural Conservation
